wiki_id,alias,name
Q108219916,Ethel Hildur Dorothy Florén-Winthe,Ethel Florén-Winther
Q108219916,Florén-Winther i Älvsjö,Ethel Florén-Winther
Q1554742,Gunnar Edvard Heckscher,Gunnar Heckscher
Q1554742,Heckscher i Stockholm,Gunnar Heckscher
Q1554742,"Heckscher, Gunnar",Gunnar Heckscher
Q1606431,Allard i Örebro,Henry Allard
Q1606431,"Allard, Henry",Henry Allard
Q179493,Bertil G Ohlin,Bertil Ohlin
Q179493,Bertil Gotthard Ohlin,Bertil Ohlin
Q179493,Ohlin i Stockholm,Bertil Ohlin
Q2345137,Eric Bertil Holmqvist,Eric Holmqvist
Q2345137,Holmqvist i Kallhäll,Eric Holmqvist
Q2345137,Holmqvist i Malmö,Eric Holmqvist
Q2954414,,Göran Karlsson
Q3376192,,Krister Wickman
Q3379728,,Ingrid Segerstedt Wiberg
Q3424655,Boheman i Gränna,Erik Boheman
Q3424655,Erik Carlsson Boheman,Erik Boheman
Q369024,Lars Helge Werner,Lars Werner
Q369024,Werner,Lars Werner
Q4938354,Bergegren i Norrköping,Astrid Bergegren
Q4957038,,Lisa Johansson
Q4966432,,Lisa Mattson
Q4984675,Margit Selma Clasine Vinge,Margit Vinge
Q4984675,Vinge i Nacka,Margit Vinge
Q514209,Hedlund i Rådom,Gunnar Hedlund
Q5348198,Andreasson i Östra Ljungby,Egon Andreasson
Q5348198,Nils Egon Andreasson,Egon Andreasson
Q53707,Erlander i Lund,Tage Erlander
Q53707,Tage Fritjof Erlander,Tage Erlander
Q53740,Carlsson i Tyresö,Ingvar Carlsson
Q5546257,Alexanderson i Lidingö,Erik Alexanderson
Q5546257,Karl Erik Alexanderson,Erik Alexanderson
Q5551491,Adamsson i Malmö,Erik Adamsson
Q5551491,Erik Selmer Johan Adamsson,Erik Adamsson
Q5554059,Andersson i Örnsköldsvik,Axel Andersson i Örnsköldsvik
Q5554059,Mårten Axel Johannes Andersson,Axel Andersson i Örnsköldsvik
Q5557484,Annerås i Lindome,Arvid Annerås
Q5557484,Karl Erik Arvid Annerås,Arvid Annerås
Q5561426,Aspling i Sundbyberg,Sven Aspling
Q5561426,Sven Gustav Aspling,Sven Aspling
Q5577506,Björk i Skärholmen,Kaj Björk
Q5577506,Kaj Åke Björk,Kaj Björk
Q5577840,Björkman i Bromma,Folke Björkman
Q5577840,Nils Gustaf Folke Björkman,Folke Björkman
Q5621600,Dickson i Vikaryd,James Dickson
Q5715273,Ericsson i Kinna,John Ericsson
Q5715273,John August Ericsson,John Ericsson
Q5715273,John Ericsson i Kinna,John Ericsson
Q5716662,Eriksson i Bäckmora,John Eriksson i Bäckmora
Q5716662,John Erik Eriksson,John Eriksson i Bäckmora
Q5777440,,Sven Gustafson
Q5781896,Erik Rudolf Hagberg,Erik Hagberg
Q5781896,Hagberg i Malmö,Erik Hagberg
Q5782529,,Anders Haglund
Q5784568,Hallén i Arvika,Harald Hallén
Q5784568,Hallén i Torrskog,Harald Hallén
Q5789726,Hansson i Göteborg,Torsten Hansson
Q5789726,Torsten Bengt Gunnar Hansson,Torsten Hansson
Q5802833,John Allan Hernelius,Allan Hernelius
Q5807811,Nils Ture Hjorth,Nils Hjorth
Q5886385,Johansson i Mysinge,Ivar Johansson
Q5886385,Nils Ivar Johansson,Ivar Johansson
Q5887636,Johansson i Ljungby,Rune B. Johansson
Q5887636,Johansson i Stockholm,Rune B. Johansson
Q5887636,Rune Bernhard Johansson,Rune B. Johansson
Q5887928,Johansson i Jönköping,Tage Johansson
Q5887928,Nils Tage Johansson,Tage Johansson
Q5897318,Kaijser i Karlstad,Rolf Kaijser
Q5897318,Rolf Gustaf Sylvester Kaijser,Rolf Kaijser
Q5937997,Lars Edmund Larsson,Lars Larsson i Lotorp
Q5938913,,Thorsten Larsson
Q5954195,Lindblad i Gävle,Hans Lindblad
Q5963832,Lothigius i Örserumsbrunn,Carl-Wilhelm Lothigius
Q5967746,,Birger Lundström
Q5969341,,Bertil Löfberg
Q5989925,Sven Torsten Moberg,Sven Moberg
Q5997101,Axel Henrik Munktell,Henrik Munktell den yngre
Q6000480,,Alvar Mårtensson
Q6010180,,Ferdinand Nilsson
Q6012223,N. Yngve Nilsson,Yngve Nilsson
Q6012223,Nils Yngve Nilsson,Yngve Nilsson
Q6017016,Bengt Olof Norling,Bengt Norling
Q6020187,,Sven Nyman
Q6027171,Johan Andreas Olsson,Johan A. Olsson
Q6031148,,Holge Ottosson
Q6044930,,Bertil Petersson
Q6046795,Axel Georg Pettersson,Georg Pettersson
Q6047050,,Karl Pettersson
Q6070749,Gunnar Richardson,Gunnar Richardson
Q6070749,Nils Gunnar Erik Richardson,Gunnar Richardson
Q6070749,Richardson i Skara),Gunnar Richardson
Q6072689,,Einar Rimmerfors
Q6146893,Nils Gunnar Lange,Gunnar Lange
Q6151901,Malmborg i Skövde,Oscar Malmborg
Q6151901,Oscar Johan Natanael Malmborg,Oscar Malmborg
Q6156731,Folke Uno Nihlfors,Folke Nihlfors
Q6156731,Nihlfors i Farsta,Folke Nihlfors
Q6156731,Nihlfors i Hammarbyhöjden,Folke Nihlfors
Q6156731,Nihlfors i Johanneshov,Folke Nihlfors
Q6170780,Lars Erik Schött,Lars Schött
Q6170780,Schött i Kalmar,Lars Schött
Q6172705,Knut Erik Valdemar Senander,Knut Senander
Q6172705,Senander i Göteborg,Knut Senander
Q6180020,Doverstorparen,Martin Skoglund
Q6180020,John Martin Skoglund,Martin Skoglund
Q6180020,Skoglund i Doverstorp,Martin Skoglund
Q6180594,,Bo Skårman
Q6180686,Sköld i Kämpinge,Per Edvin Sköld
Q6180686,Sköld i Oxie,Per Edvin Sköld
Q6180686,Sköld i Toftaröd,Per Edvin Sköld
Q6194302,,Nils Ståhle
Q6195774,Gustaf Valfrid Sundelin,Gustaf Sundelin
Q6195774,Sundelin i Fellingsbro,Gustaf Sundelin
Q6198452,Evert Ingemar Svensson,Evert Svensson
Q6199074,Per Gustaf Ansgarius Svensson,Per Svensson
Q6199074,Svensson i Stenkyrka,Per Svensson
Q6206899,Gustaf Fridolf Thapper,Fridolf Thapper
Q6206899,Thapper i Finspång,Fridolf Thapper
Q6231399,Gunnar Sigfrid Wallmark,Gunnar Wallmark
Q6255268,Åkerlund i Lidingö,Henrik Åkerlund
Q6257757,Österdahl i Visby,Sven-Otto Österdahl
Q6340136,Jan-Erik Wikström (politiker),Jan-Erik Wikström
Q707581,Bengtsson i Varberg,Ingemund Bengtsson
Q707581,Sten Bertil Ingemund Bengtsson,Ingemund Bengtsson
Q927466,"Feldt, Kjell-Olof",Kjell-Olof Feldt
Q927466,Kjell Olof Feldt,Kjell-Olof Feldt
Q927466,Kjell-Olof Fält,Kjell-Olof Feldt
