speaker_note_id	speaker_note
i-Bkg44LZGSspFsRj2JPUygm	Sammanträdet öppnades av representanten för Göteborg herr ERLANDER såsom den ledamot, vilken bevistat de flesta riksdagarna, med följande ord:
i-53ZFmwgrFMA9QZhDw5eHKy	Vänsterpartiet kommunisterna:
i-HdLbiXshQR8TDDP4VMJnnQ	Herr JOHANSSON i Ljungby (s), som yttrade:
i-CKMmaHhBXUs3osofsGmp3i	§ 9 Herr ERLANDER, som nu lämnade talmansplatsen, yttrade därvid till herr talmannen:
i-UkQxch5pf9NNYtCNdkpfot	Herr TALMANNEN intog talmansplatsen och anförde:
i-Suz7d5bLSBxBVgiFKy5CFr	Ordet lämnades på begäran till herr FÖRSTE VICE TALMANNEN, som yttrade:
i-KxrsXzKNt2UGTZKrwMr7Cj	Sedan sekreteraren på kallelse infunnit sig, anförde herr TAL- MANNEN:
i-8LTrg4tWJK2URB3MxgDM2a	§& 11 Herr TALMANNEN yttrade:
i-99VbHXArrQRwfF8rdNJxCZ	Herr TALMANNEN anförde:
i-3gGhneRp5MKBWsTy4CHUVE	§ 3 Herr TALMANNEN framträdde och yttrade:
i-XN9xPnavSm16xxVkAi9Bov	Anf. I TALMANNEN:
i-FLAKbERfSWgAbLUCwKHSoz	Anf. 2 TALMANNEN:
i-Aq16PqA3hUXkNv4ybgNgpY	18 TALMANNEN yttrade:
i-2wbZFwBnB361VPCTSESs8x	Med anledning av denna hemställan anförde HANS MAJESTÄT KONUNGEN:
i-41ZpYFY8aaNuwwTbvxm6yU	Fanfarer Kungssången TALMANNEN
i-9528X3MbkqWP24DpbEJU38	Herr OLSSON, JOHAN, (cp):
i-WkB7UsXDTLXfkX2ahdiAmY	Herr OTTOSSON (m):
i-DNPkJePrCJ7PJJrKe54nu3	Herr NYMAN (fp):
i-AseGFNkMUQWadAzJ5f6FwN	Herr OLSSON, JOHAN, (cp):
i-TUh7MBdX9eKJYRRgvbwXuQ	Herr statsrådet och chefen för industridepartementet WICKMAN, som tillkännagivit, att han hade för avsikt att i samband med behandlingen av detta ärende besvara herr Karl Petterssons (m) interpellation angående statens vattenfallsverks avskrivningar för investeringar i Marvikenprojektet, erhöll nu ordet och anförde:
i-HvjKi4AA3dZHk294fpdmy1	Herr PETTERSSON, KARL, (m):
i-SYGsxohjRtr9Eq3NDJYtp9	Herr OTTOSSON (m) kort genmäle:
i-C8rdm3C2g1iJvCp1Aut7UJ	Herr NYMAN (fp) kort genmäle:
i-X494gcgMeMtAHfto8dGBC1	Herr OLSSON, JOHAN, (cp) kort genmäle:
i-DEDW5yrJaMmKLkS1hJiKhQ	Herr statsrådet WICKMAN:
i-EHpW5DN4UCeiUFvZJ6nwFA	Herr PETTERSSON, KARL, (m) kort genmäle:
i-xaqJ7YBcJQnx1VJTtond8	Herr ÅKERLUND (m):
i-3Aww5ggzRFgeKp1oPeAhdV	Herr LANGE (s):
i-Boh7rm6MmvUkcjZpGfBGZU	Herr statsrådet WICKMAN:
i-3dgxnXRqR6mzVwUX18r6nJ	Herr ÅKERLUND (m) kort genmäle:
i-MQTm4ZdawCN9238gPtRyif	Herr LANGE (s) kort genmäle:
i-R9u1t3N3hvfopUpUePSHuS	Herr LINDBLAD (fp):
i-VZoCU5xQmWZJNCSDYRVDCm	Herr PETERSSON, BERTIL, (s):
i-UF3RG7ecE2ZMrt7WKz262Z	Herr LINDBLAD (fp):
i-7JG6kURkURLMJuuSb6Q6iA	Herr LARSSON, THORSTEN, (cp):
i-VTzUi8N3frCCY1iTtvSHiu	Herr WALLMARK (m):
i-Gxwo5FemGA8hPxwneKQB3a	Herr ANDREASSON (cp):
i-3JtHXRtrDE18qPopb33W6x	Herr MÅRTENSSON (s):
i-AwHcJS8JmgfXUMAwHJubiK	Herr LARSSON, LARS, (s):
i-33vb162B19UceNfKwiUfGr	Herr statsrådet CARLSSON:
i-DyVcu196yHdGcF5i4JStHQ	Herr WALLMARK (m):
i-HNtsHEq1wVTNbxJxKK2ucw	Herr LARSSON, THORSTEN, (cp):
i-Mb93WugWtzFfwDhnH2iAuG	Herr statrådet CARLSSON:
i-9zV6hxgJvHUpbnvkTqK44b	Herr WALLMARK (m):
i-CGQg91rpCbWAEGwempE4kR	Herr statsrådet CARLSSON:
i-HNgP65FSpM5AG9YYjLvfKV	Herr WALLMARK (m):
i-EGd5uwvWabMaaGFgM7ssK8	Herr statsrådet CARLSSON:
i-G23oudZXJSqLaHUVQqcxSc	Herr WALLMARK (m):
i-W3kwgRgLD5EK7zwhAeBDCE	Herr WALLMARK (m):
i-H7DnvvPvhQAYjoM7mdT9Lh	Herr LARSSON, THORSTEN, (cp):
i-C176jHwMeanN5mu6g8JtsR	Herr MÅRTENSSON (s):
i-4kQwd6BmR8HKhCjZr7ugc7	Meddelades, att jämlikt 8 20 i kammarens ordningsstadga följande enkla fråga framställts den 10 december av herr Annerås (fp) till herr statsrådet och chefen för handelsdepartementet:
i-S5wsG6GeEw4X2AEEFNpQDf	Herr statsrådet och chefen för utbildningsdepartementet CARLSSON, som tillkännagivit, att han hade för avsikt att vid detta sammanträde besvara herr Hibinettes (m) interpellation angående vården av kulturhistoriska byggnader, erhöll ordet och yttrade:
i-33TtbGS6mYKjTvKAqTSCoS	Herr HÖBINETTE (m):
i-MwxHiNKwLyUcQ79PR2WMH3	Herr statsrådet CARLSSON:
i-2vsFZL6geVym7xG7SGCvcp	Herr HÖBINETTE (m):
i-FnpPvNVNqgmwk5XYwEy1MM	Herr statsrådet CARLSSON:
i-UfZnBnC72wY46QS8Ao1iK7	Ordet lämnades härefter till herr statsrådet och chefen för inrikesdepartementet HOLMQVIST, som meddelat, att han ämnade vid detta sammanträde besvara herr Kaijsers (m) interpellation angående arbetsmarknadsutbildningen, och nu anförde:
i-XhVS7GxHALQDVTQX77Pmz3	Herr KAIJSER (m):
i-9j58mPTnRv38thb64bUuEY	Herr statsrådet HOLMQVIST:
i-Wkmeki6AXpyra8by9oqAHu	Herr KAIJSER (m):
i-TDrfpg2wsn2Bm2hNUwVctY	Herr statsrådet och chefen för inrikesdepartementet HOLMQVIST, som förklarat sig ämna vid detta samman-
i-KvDtng6dVu6kNThjpoR9fF	träde besvara jämväl herr Johan Olssons (cp) interpellation angående flyttningsbidrag till arbetskraft som söker anställning i stödområde, fick ånyo ordet och yttrade:
i-WK5NoWTGrRRwhrtxuek6tg	Herr OLSSON, JOHAN, (cp):
i-XadFh2LnvkoDSsi9SkFspi	Herr statsrådet HOLMQVIST:
i-QwmJJRVXxYqQJ8UgYzb6da	Herr OLSSON, JOHAN, (cp):
i-EghHo4Qq1WK4MsrNZ5fq18	Herr statsrådet HOLMQVIST:
i-QGAy8zFyKQD543kD4r5E1n	Herr OLSSON, JOHAN, (cp):
i-P4djrUeg69SdeW12e5seVZ	Ordet gavs därpå till herr statsrådet och chefen för kommunikationsdepartementet NORLING, som meddelat, att han hade för avsikt att vid detta sammanträde besvara herr Hanssons (s) interpellation angående försäljningen av bussar från Sverige till Nigeria, och nu anförde:
i-RsiFiERj3GESokvkKMqMNm	Herr HANSSON (s):
i-BY5uxHY35n98Ga84wtwiBp	Herr statsrådet och chefen för handelsdepartementet FELDT erhöll ordet för att besvara herr Annerås” (fp) fråga angående dispens för öppethållande inom detaljhandeln på söndagar, vilken fråga intagits i kammarens protokoll för den 11 december, och anförde:
i-UCqgxACMYqXvGgLHKJL1A2	Herr ANNERÅS (fp):
i-5P2JG1m934WcLKrQRri2n1	Herr statsrådet FELDT:
i-6vJwDsbcg2aggWkBZViTLp	Ordet lämnades härefter till herr statsrådet och chefen för socialdepartementet ASPLING, som meddelat, att han hade för avsikt att vid detta sammanträde besvara herr Björks (s) interpellation angående <:
i-FtYo2hDBxZhhfQGJDNvcQ	Herr BJÖRK (s):
i-VkAYQyp3Z1mtkdZqj5sN87	Herr statsrådet LÖFBERG, som tillkännagivit, att han ämnade vid detta sammanträde besvara fru Florén-Winthers (m) interpellation angående samordningen av pension för statsanställda i vissa fall, erhöll ordet och anförde:
i-VKedsg154qer1eWL4xmdPw	Fru FLORÉN-WINTHER (m):
i-QDgKRuibxkfAVh5xspeKzg	Herr statsrådet LÖFBERG:
i-F4VT8U3VC4mEpPG7ty86Fk	Fru FLORÉN-WINTHER (m):
i-3G98fCUo9tjfPbJsxskLGQ	Herr statsrådet LÖFBERG:
i-HjFzNeuunatEVt2M93adWs	Herr NYMAN (fp).
i-7PVw98K7r84bCN5acDdAnc	Herr WALLMARK (m):
i-T5S5jUe92Fpn9PZvuY2W2Q	Herr statsrådet MOBERG:
i-3bLJMGhNQn7LsW5oksBeUT	Herr WALLMARK (m):
i-P8zrryEbzSqXBuZGmnpPCR	Herr WALLMARK (m):
i-QsQRtvcnPP6tipqDTQj1cC	Herr statsrådet MOBERG:
i-GSyBt8TcENQqSFDT5U8ULs	Herr WALLMARK (m):
i-VXHRAy4EWehfQEM3B6L9Pv	Herr HANSSON (s):
i-LixCJXUoeLkiJRg8rToybo	Herr PETTERSSON, KARL, (m):
i-VZJKh2rXdk2guGWDgbSUqa	Herr JOHANSSON, TAGE, (s):
i-LULTL2MWUXhnQXrqm7HBu1	Herr PETTERSSON, KARL, (m):
i-HAf8PuNzsqZPAP81PANRcm	Herr JOHANSSON, TAGE, (s):
i-CW2GDoKbEsyb2xHCjsExJS	Herr TALMANNEN yttrade:
i-Tn9nb4pDrRTb6n9CAHHZtR	Herr SKÅRMAN (fp):
i-F6uGSRR3VxSpMN8dxdprQ5	Herr HJORTH (s):
i-NgT3hhcLs2Uq73yAwFM9Po	Fru FLORÉN-WINTHER (m):
i-YUTw3gyrtZPi5VtotUhaHa	Herr KARLSSON, GÖRAN, (s):
i-2EYFhe8osn2D2TjB6RXGpy	Herr Hjorth tog också upp frågan om SJ:
i-8DnFVuHYQ6jFicU7XoiiMT	Herr SKÅRMAN (fp):
i-878VmNLPf4B7edFcpYGKjR	Fru FLORÉN-WINTHER (m):
i-94mSaVN9rAX3nip4ZMFmQ2	Herr HJORTH (s) kort genmäle:
i-5J1znvtFzeXQy7oy3VvNET	Herr KARLSSON, GÖRAN, (s):
i-8PQ3MRah4EEQXofg36vj3D	Herr SKÅRMAN (fp):
i-VqSykrdW7CMAhbiXvNhB7A	Herr HJORTH (s):
i-UtAsLQ8kwZnkFpYsum1PgQ	Herr KARLSSON, GÖRAN, (s):
i-CxQmoXy5HyYzMYKfQfYz2K	Fru FLORÉN-WINTHER (m):
i-4g9xW3jzR13gNCjSkapMxi	Herr WIKSTRÖM (fp):
i-LmX8PTipVTdaLqqF2N9hbD	Fru SEGERSTEDT WIBERG (fp):
i-RHKr75rYq11pCjAr7KBsNY	Herr LINDBLAD (fp):
i-DDCkBxH34TVxpxn1h3u6JQ	Herr BJÖRK (s):
i-2kS4pt6ooYPNeePC1TxfA3	Herr WIKSTRÖM (fp):
i-Qkk6VpwTBnebaP4aSqXmfM	Fru SEGERSTEDT WIBERG (fp):
i-V4Wg1TbWsGRbj2kQvAughv	Herr LINDBLAD (fp):
i-MYdk3Ry3g6XjzMLMpWaRJD	Herr BJÖRK (s):
i-Uhw6juAFZAmXnkUzU9BMt6	Herr WIKSTRÖM (fp):
i-WdNDT5X7CimkQnjKy85Ltb	Fru SEGERSTEDT WIBERG (fp):
i-P7McpWfHrVMq1FwpXgrABz	Herr BJÖRK (s):
i-TELatFJ2PxLCuhybSztv1u	Herr WIKSTRÖM (fp):
i-6CGJAfZWbstAs5HHFvMQGK	Herr RICHARDSON (fp):
i-9SxqN3q61EgePufT8beybc	Herr PETTERSSON, AXEL GEORG, (cp):
i-SM4sWLWhqUp45X87U2CMGm	Herr WERNER (vpk):
i-5PG4VY5XwwB78Kxyi5aAwW	Herr HERNELIUS (m):
i-H5tzxLRrvnucjn57HEf9Ky	Herr PETTERSSON, GEORG, (s):
i-ANe5UjnAYmSgK8qckWaPc6	Herr WERNER (vpk) kort genmäle:
i-CnAHpwnYzrpFPKQNFJr6gm	Herr RICHARDSON (fp) kort genmäle:
i-JnMS4CQE2Zd5Fqhrhq1qHN	Herr PETTERSSON, GEORG, (s) kort genmäle:
i-R34jkMFaqKpFcFfA1GhDq	Herr RICHARDSON (fp) kort genmäle:
i-bnvd8irgo9Z4ij7hKtxDA	Herr ANDERSSON, AXEL, (fp):
i-5h6mRSkAxeA1wrX71tyCXz	Fröken MATTSON (s):
i-6WkxMqzFENgmUbuTW8oGtG	Herr ALEXANDERSON (fp):
i-EUBJzKxEartEmXbTwg2wyb	Fröken MATTSON (s):
i-VysYuH4CmKrjBJaEvCqAAZ	Herr ALEXANDERSON (fp):
i-57SVsNWMJuXv8Ag8PKkjBY	Herr ÖSTERDAHL (fp):
i-HukzQXrcA6gpdbZ6Rwcgw1	Herr SCHÖTT (m):
i-GcPKxKjVf4rcd7dbRnYGs8	Herr statsrådet NORLING:
i-3RSgRxYC7TfZ161GjdxS9M	Herr SCHÖTT (m) kort genmäle:
i-2e2JoCSkL53wkWwg2uBp1i	Herr KARLSSON, GÖRAN, (s):
i-39Mc6UGaw2ZLs6uQK3vPFe	Herr TALMANNEN anförde:
i-oYUGXs3ymU4mrcLcorfdV	Herr NILSSON, FERDINAND, (cp):
i-KsXGfg8y7NveFu4ZyPCuTB	Herr SVENUNGSSON (m):
i-4b31DUsdubycw58QcyC7Aj	Herr KARLSSON, GÖRAN, (s):
i-9t2Zt5eAsksS7ADqhfNSK3	Herr NILSSON, FERDINAND, (cp):
i-3b3cjFnPecmrbW62sr5Y93	Herr SVENUNGSSON (m):
i-LMit2TyoitR7VYB5NrU456	Herr KARLSSON, GÖRAN, (s):
i-XwNZRnKVhg9SJkLBJn1yGP	Herr NILSSON, FERDINAND, (cp):
i-717iPcDqKuJQzeuD6kAs9w	Herr KARLSSON, GÖRAN, (s):
i-QkiqkPJVU6yEpxLD2gEHRQ	Herr ÅKERLUND (m):
i-GrH2oaGaaM7Hx1KSZm3rB2	Herr STÅHLE (s):
i-HoDrkZVw9XyTWJCbbBoWq7	Herr ÅKERLUND (m):
i-kKwchvmGcCczwx5qpBvmM	Herr STÅHLE (s):
i-QTXv4S4qVbJSug8jSGuXLk	Herr TALMANNEN yttrade:
i-Rb5yPNtEnwcSC5HgW9LJFi	Herr TALMANNEN yttrade:
i-K2zMg7q6rdAQdCd6asg5sA	Herr ERICSSON, JOHN:
i-BVfwrihpA5T7uDEYYvye84	Efter det kammarens ledamöter hyllat herr talmannen med långvariga applåder, anförde herr TALMANNEN:
i-GmpTmMyyUivoVPEGzvy5eG	Sammanträdet öppnades av representanten för Värmlands län herr HALLÉN såsom den ledamot, vilken bevistat de flesta riksdagarna, med följande ord:
i-W5kiFqZNFC2zokVXCeLfro	Herr TALMANNEN yttrade:
i-F7dhfyko2YLxtDCbxgkSD	Herr TALMANNEN anförde:
i-QWeNiL5PSXJcaS3BfedJuj	Herr FÖRSTE VICE TALMANNEN, som yttrade:
i-4vP9JWQg17eap3FgUbAsso	Herr MUNKTELL (h), som anförde:
i-Fm8rc8Wph5W4RzT98eRMvq	Herr RIMMERFORS (fp) erhöll på begäran ordet och yttrade:
i-VqRGkB2GpqVqWoqU3BirdQ	Herr SENANDER (k), som anförde:
i-XwHduHhCY7ALJfMMASoebP	Herr BJÖRKMAN (h), som yttrade:
i-Q71kM75RGPz3Ft5MMv1h42	Fru SJÖQVIST (h) erhöll på begäran ordet och anförde:
i-AbaW8XSXpARevB7PnZqdC3	Herr NIHLFORS (fp), som yttrade:
i-6TprtYFyxRg9pn4wo3hSaf	Herr ERIKSSON i Bäckmora (cp), som anförde:
i-A2Sd1miWtgHiM5W5XoA5ta	Herr ANDRE VICE TALMANNEN, som yttrade:
i-HpYDRu46nsa2N1xzcb3g8m	Herr ANDRE VICE TALMANNEN, som anförde:
i-VeBXb9AxhK5Nfd5P5AQ7tR	Fröken BERGEGREN (s), förde:
i-7wFGJGb4mAS3RyCQ2GbHZj	Herr SVENSSON i Kungälv (s), som yttrade:
i-J3LceF93mBg4AAVPfmyZM2	Herr ANDRE VICE TALMANNEN, som anförde:
i-7aEZKMF1pz2Ffj43X8N5La	Herr HAGLUND (s), som anförde:
i-BV4F9B9wG7KyrQD4jcspox	Herr LOTHIGIUS (h) erhöll på begäran ordet och yttrade:
i-4F8nFMJ5rarPEj8UkZ29t9	Herr FÖRSTE VICE TALMANNEN öppnade sammanträdet med följande ord:
i-6NYSHuvMsTBSTdfykiXqN5	Herr FÖRSTE VICE TALMANNEN yttrade;
i-Nf2p2YXsMArqMg4Fsg7xNx	Herr RIMMERFORS (fp), rade:
i-DmsGegGAKvXR9khEahEMJJ	Herr RIMMERFORS (fp) erhöll på begäran ordet och anförde:
i-ATm18xS5BtyuMLos2L5KJJ	Herr GUSTAFSON i Göteborg (fp), som yttrade:
i-8x76L7c8D8CGdRQASAjCpg	Herr ADAMSSON (s), som anförde:
i-bEeGErVC4ETEA5Ch7WepM	Fröken VINGE (fp) erhöll på begäran ordet och yttrade:
i-SWoSrnzkbgb35Dvg4A62Ui	Herr NIHLFORS (fp), som anförde:
i-Y9m9fVaufx2ruLRAMMr8iX	Herr HAGBERG (k), som yttrade:
i-Ue87EXJpsCqjyoSb6NufqG	Herr NILSSON i Gävle (k) erhöll på begäran ordet och anförde:
i-8fuGg3fARWvAmf6Y99rDH8	Herr SENANDER (k), som yttrade:
i-8SNdZxxXwk4oELRErjs817	Herr DICKSON (h), som anförde:
i-MmfEU6soHtpmUU33EJqAfJ	Herr SVENSSON i Stenkyrka (cp) erhöll på begäran ordet och yttrade:
i-3Smns3nyt8SjMBWkcD5ZsL	Herr FÖRSTE VICE TALMANNEN anförde:
i-VG6x6Q46SQmpPAG4uT3HhR	Herr TALMANNEN yttrade:
i-2fpnwtkdPYgD5NzJ1uEM6n	Herr OHLIN (fp), som yttrade:
i-SnYFh4F99xPViz6GMDN88N	Herr LARSSON i Hedcenäset (cp) crhöll på begäran ordet och anförde:
i-TjA6WXELMke1BqARR2jVmM	Herr SANDLER framträdde till talmansbordet och yttrade:
i-HKZaVZ3F2TB44zFEDteeBZ	Herr SANDLER, som nu lämnade talmansplatsen, yttrade därvid till herr talmannen:
i-CnJQKsb5EgCfzUF4wr6rn7	Herr TALMANNEN intog talmansplatsen och anförde:
i-bsRLQcuTezpbvQVGz2CtT	Hovrättsassessor Lindelöw fick nu företräde, varvid herr TALMANNEN yttrade:
i-14bCmPFfvRWGyMwactK2zp	Herr TALMANNEN anförde:
i-6ji46ZBsoPPuUUWdaEUWM1	Herr TALMANNEN framträdde därpå och yttrade:
i-578a2THJjaxvaAMZW6qt9P	Herr ANDRE VICE TALMANNEN erhöll på begäran ordet och yttrade:
i-KAdQxff76TWwUqJEMf91nz	Då val av två kanslideputerade nu skulle anställas, begärdes ordet av herr ANDRE VICE TALMANNEN, som anförde:
i-CUaM61qaDqoxx1EnFsYWBh	Herr LUNDSTRÖM (fp) erhöll på begäran ordet och yttrade:
i-B2ComfkjXqMRrUxWqiL4wv	Herr FÖRSTE VICE TALMANNEN erhöll på begäran ordet och yttrade:
i-Uqxw8F3ab3EzhSdhtXgEQQ	herr SKÖLD såsom den ledamot, vilken bevistat de flesta riksdagarna, med följande ord:
i-PWk4UNeJWdMaG3JxDaDzEG	Herr TALMANNEN yttrade:
i-Y2gdM3mpbcnxioMdhTjakM	Herr TALMANNEN anförde:
i-GuKMXaKb5uxijU8tHTXeSk	Herr FÖRSTE VICE TALMANNEN, som yttrade:
i-MWg5aQjasHD18uxfouiMch	Herr FÖRSTE VICE TALMANNEN, som anförde:
i-SKNuteKo1bRroN1ieM8Kxi	Fru JOHANSSON (s), som yttrade:
i-62j4hD9tw7szBSmFtDbLq9	Herr ANDRE VICE TALMANNEN, som yttrade:
i-SLjr9n1mdabZqnU8nPCYAh	Herr HEDLUND (cp), som anförde:
i-D7UyuqJ3HZRzwWY5U43fKX	Herr HECKSCHER (h), som yttrade:
