party_id	abbrev	party_display
	[-]	Utan partibeteckning
Q10432852	AK-bd	Bondeska diskussionsklubben
Q10433181	AK-bp	borgmästarepartiet
Q10444846	AK-c73	Centern (partigrupp 1873-1882)
Q10411412	AK-c89	Andra kammarens center
Q10444837	AK-ch	Center-högern
Q10499121	AK-fc	Frihandelsvänliga centern
Q10499105	AK-fd	Friesenska diskussionsklubben
Q10499214	AK-ff	Frisinnade försvarsvänner
Q10497448	AK-fp	Folkpartiet (1895–1900)
Q10411414	AK-frip	Andra kammarens frihandelsparti
Q10502466	AK-glmp	Gamla lantmannapartiet
Q10554125	AK-lb	Lantmanna- och borgarepartiet inom andrakammaren
Q6487621	AK-lmp	Lantmannapartiet
Q10554126	AK-lmpf	Lantmannapartiets filial
Q19977599	AK-mrg	De moderata reformvännernas grupp
Q10604299	AK-nc83	Nya centern (partigrupp 1883-1887)
Q10604300	AK-nc95	nya centern (partigrupp 1895-1896)
Q10594830	AK-nf	Nationella framstegspartiet
Q10604308	AK-nlmp	Nya lantmannapartiet
Q10604782	AK-np	Nyliberala partiet
Q49098936	AK-sb	Stockholmsbänken
Q10411416	AK-v	Andra kammarens vänster
Q110472693	C	Bondeförbundet
Q110832	C	Centerpartiet
Q10444847	FK-c	Centern (partigrupp 1885-1887)
Q10480339	FK-ep	Ehrenheimska partiet
Q111103693	FK-fh	Det förenade högerpartiet
Q10501498	FK-kg	Första kammarens konservativa grupp
Q10501499	FK-mg	Första kammarens ministeriella grupp
Q10585839	FK-minip	ministeriella partiet
Q10501500	FK-minop	Första kammarens minoritetsparti
Q10501501	FK-modp	Första kammarens moderata parti
Q3480145	FK-np	Första kammarens nationella parti
Q7251368	FK-pp	Första kammarens protektionistiska parti
Q10671173	FK-skåp	Skånska partiet
Q111597190	FK-v	vänstern
Q10540831	Jfg	Jordbrukarnas fria grupp
Q213654	Kd	Kristdemokraterna
Q111188360	Kp	Kilbomspartiet
Q110857	L	Folkpartiet
Q4887122	L	Frisinnade folkpartiet
Q1594086	L	Liberala samlingspartiet
Q10560990	Lrp	Liberala riksdagspartiet
Q111077860	M	Högerns riksdagsgrupp
Q111033682	M	Högerpartiet
Q110843	M	Moderata samlingspartiet
Q213451	Mp	Miljöpartiet
Q10579102	Ms	Medborgerlig samling (1964–1968)
Q967278	Nyd	Ny demokrati
Q105112	S	Socialdemokraterna
Q504069	Sd	Sverigedemokraterna
Q2425638	Sp	Socialistiska partiet
Q10672903	V	Socialdemokratiska vänstergruppen
Q111285801	V	Sveriges kommunistiska parti
Q110837	V	Vänsterpartiet